time,PV,G(i),H_sun,T2m,WS10m,Int
2015-01-01 00:10:00,0.0,0.0,0.0,-2.41,2.62,0.0
2015-01-01 01:10:00,0.0,0.0,0.0,-2.0,2.83,0.0
2015-01-01 02:10:00,0.0,0.0,0.0,-1.83,2.83,0.0
2015-01-01 03:10:00,0.0,0.0,0.0,-1.78,2.69,0.0
2015-01-01 04:10:00,0.0,0.0,0.0,-1.87,2.41,0.0
2015-01-01 05:10:00,0.0,0.0,0.0,-2.07,2.14,0.0
2015-01-01 06:10:00,0.0,0.0,0.0,-2.42,1.93,0.0
2015-01-01 07:10:00,0.0,0.0,0.0,-2.98,1.59,0.0
2015-01-01 08:10:00,763.8,291.25,9.22,-2.37,1.24,0.0
2015-01-01 09:10:00,1339.62,513.56,15.61,0.22,0.97,0.0
2015-01-01 10:10:00,1532.31,596.62,19.91,1.86,0.9,0.0
2015-01-01 11:10:00,1427.64,560.91,21.72,3.17,0.97,0.0
2015-01-01 12:10:00,1103.4,442.81,20.81,4.08,1.03,0.0
2015-01-01 13:10:00,631.65,280.96,17.31,4.57,1.1,0.0
2015-01-01 14:10:00,141.3,99.13,11.57,4.58,1.03,0.0
2015-01-01 15:10:00,24.09,19.91,4.06,3.89,0.97,0.0
2015-01-01 16:10:00,0.0,0.0,0.0,2.62,0.9,0.0
2015-01-01 17:10:00,0.0,0.0,0.0,1.75,1.03,0.0
2015-01-01 18:10:00,0.0,0.0,0.0,0.47,1.24,0.0
2015-01-01 19:10:00,0.0,0.0,0.0,0.77,1.1,0.0
2015-01-01 20:10:00,0.0,0.0,0.0,-0.55,1.45,0.0
2015-01-01 21:10:00,0.0,0.0,0.0,-1.31,1.59,0.0
2015-01-01 22:10:00,0.0,0.0,0.0,-1.41,1.52,0.0
2015-01-01 23:10:00,0.0,0.0,0.0,-1.63,1.59,0.0
2015-01-02 00:10:00,0.0,0.0,0.0,-1.85,1.72,0.0
2015-01-02 01:10:00,0.0,0.0,0.0,-1.86,1.72,0.0
2015-01-02 02:10:00,0.0,0.0,0.0,-1.75,1.72,0.0
2015-01-02 03:10:00,0.0,0.0,0.0,-1.71,1.72,0.0
2015-01-02 04:10:00,0.0,0.0,0.0,-1.76,1.72,0.0
2015-01-02 05:10:00,0.0,0.0,0.0,-1.81,1.79,0.0
2015-01-02 06:10:00,0.0,0.0,0.0,-1.76,1.86,0.0
2015-01-02 07:10:00,0.0,0.0,0.0,-1.63,1.59,0.0
2015-01-02 08:10:00,1100.82,418.16,9.24,-0.73,1.31,0.0
2015-01-02 09:10:00,1239.15,476.9,15.65,1.93,1.24,0.0
2015-01-02 10:10:00,1502.37,586.65,19.97,4.01,1.45,0.0
2015-01-02 11:10:00,1342.38,528.38,21.8,5.61,1.72,0.0
2015-01-02 12:10:00,714.3,289.66,20.91,6.68,1.86,0.0
2015-01-02 13:10:00,535.5,234.01,17.42,7.18,2.0,0.0
2015-01-02 14:10:00,162.84,80.68,11.69,7.03,1.86,0.0
2015-01-02 15:10:00,23.82,19.91,4.2,5.8,1.93,0.0
2015-01-02 16:10:00,0.0,0.0,0.0,4.02,2.07,0.0
2015-01-02 17:10:00,0.0,0.0,0.0,2.88,1.86,0.0
2015-01-02 18:10:00,0.0,0.0,0.0,1.96,1.72,0.0
2015-01-02 19:10:00,0.0,0.0,0.0,1.89,1.66,0.0
2015-01-02 20:10:00,0.0,0.0,0.0,1.73,2.0,0.0
2015-01-02 21:10:00,0.0,0.0,0.0,1.67,2.07,0.0
2015-01-02 22:10:00,0.0,0.0,0.0,1.18,2.07,0.0
2015-01-02 23:10:00,0.0,0.0,0.0,0.59,1.86,0.0
2015-01-03 00:10:00,0.0,0.0,0.0,0.43,1.59,0.0
2015-01-03 01:10:00,0.0,0.0,0.0,1.13,1.17,0.0
2015-01-03 02:10:00,0.0,0.0,0.0,1.83,0.83,0.0
2015-01-03 03:10:00,0.0,0.0,0.0,1.74,0.55,0.0
2015-01-03 04:10:00,0.0,0.0,0.0,1.45,0.28,0.0
2015-01-03 05:10:00,0.0,0.0,0.0,1.43,0.14,0.0
2015-01-03 06:10:00,0.0,0.0,0.0,1.5,0.34,0.0
2015-01-03 07:10:00,0.0,0.0,0.0,1.46,0.48,0.0
2015-01-03 08:10:00,559.83,223.23,9.27,1.86,0.0,0.0
2015-01-03 09:10:00,1214.91,473.47,15.69,2.99,0.48,0.0
2015-01-03 10:10:00,1359.54,539.54,20.04,5.43,0.41,0.0
2015-01-03 11:10:00,1345.5,539.5,21.89,7.16,0.69,0.0
2015-01-03 12:10:00,1040.52,427.02,21.02,8.15,0.48,0.0
2015-01-03 13:10:00,597.48,268.85,17.55,8.85,0.48,0.0
2015-01-03 14:10:00,137.82,103.25,11.82,8.87,0.48,0.0
2015-01-03 15:10:00,27.15,21.72,4.33,7.82,0.76,0.0
2015-01-03 16:10:00,0.0,0.0,0.0,7.05,0.55,0.0
2015-01-03 17:10:00,0.0,0.0,0.0,5.98,0.41,0.0
2015-01-03 18:10:00,0.0,0.0,0.0,3.25,1.31,0.0
2015-01-03 19:10:00,0.0,0.0,0.0,1.99,1.72,0.0
2015-01-03 20:10:00,0.0,0.0,0.0,1.04,1.93,0.0
2015-01-03 21:10:00,0.0,0.0,0.0,1.62,2.34,0.0
2015-01-03 22:10:00,0.0,0.0,0.0,2.3,2.69,0.0
2015-01-03 23:10:00,0.0,0.0,0.0,3.21,2.97,0.0
2015-01-04 00:10:00,0.0,0.0,0.0,4.41,3.52,0.0
2015-01-04 01:10:00,0.0,0.0,0.0,5.15,4.14,0.0
2015-01-04 02:10:00,0.0,0.0,0.0,5.52,4.62,0.0
2015-01-04 03:10:00,0.0,0.0,0.0,5.73,4.9,0.0
2015-01-04 04:10:00,0.0,0.0,0.0,5.98,4.83,0.0
2015-01-04 05:10:00,0.0,0.0,0.0,6.24,4.48,0.0
2015-01-04 06:10:00,0.0,0.0,0.0,6.06,3.24,0.0
2015-01-04 07:10:00,0.0,0.0,0.0,3.57,2.14,0.0
2015-01-04 08:10:00,796.89,311.15,9.3,3.56,1.31,0.0
2015-01-04 09:10:00,1430.1,560.21,15.74,4.65,1.1,0.0
2015-01-04 10:10:00,1513.5,605.91,20.12,5.93,0.34,0.0
2015-01-04 11:10:00,1410.54,568.22,21.99,7.33,0.55,0.0
2015-01-04 12:10:00,1104.96,452.8,21.14,8.58,0.9,0.0
2015-01-04 13:10:00,637.74,287.8,17.67,9.57,1.03,0.0
2015-01-04 14:10:00,151.08,105.88,11.96,9.6,1.03,0.0
2015-01-04 15:10:00,30.66,23.53,4.47,9.0,1.17,0.0
2015-01-04 16:10:00,0.0,0.0,0.0,7.36,1.24,0.0
2015-01-04 17:10:00,0.0,0.0,0.0,5.92,0.9,0.0
2015-01-04 18:10:00,0.0,0.0,0.0,4.85,0.83,0.0
2015-01-04 19:10:00,0.0,0.0,0.0,3.58,2.9,0.0
2015-01-04 20:10:00,0.0,0.0,0.0,3.1,1.79,0.0
2015-01-04 21:10:00,0.0,0.0,0.0,2.27,1.79,0.0
2015-01-04 22:10:00,0.0,0.0,0.0,1.86,1.72,0.0
2015-01-04 23:10:00,0.0,0.0,0.0,4.2,0.83,0.0
2015-01-05 00:10:00,0.0,0.0,0.0,3.3,0.69,0.0
2015-01-05 01:10:00,0.0,0.0,0.0,1.91,0.9,0.0
2015-01-05 02:10:00,0.0,0.0,0.0,1.94,0.48,0.0
2015-01-05 03:10:00,0.0,0.0,0.0,1.37,0.0,0.0
2015-01-05 04:10:00,0.0,0.0,0.0,0.41,0.34,0.0
2015-01-05 05:10:00,0.0,0.0,0.0,-0.42,0.55,0.0
2015-01-05 06:10:00,0.0,0.0,0.0,-0.9,0.76,0.0
2015-01-05 07:10:00,0.0,0.0,0.0,0.5,0.62,0.0
2015-01-05 08:10:00,883.02,340.6,9.34,0.73,0.69,0.0
2015-01-05 09:10:00,1453.11,567.94,15.8,1.93,0.34,0.0
2015-01-05 10:10:00,1536.27,615.62,20.2,4.92,0.07,0.0
2015-01-05 11:10:00,1444.98,580.97,22.09,6.71,0.55,0.0
2015-01-05 12:10:00,1137.18,463.26,21.26,7.79,1.1,0.0
2015-01-05 13:10:00,664.38,296.88,17.81,8.27,1.31,0.0
2015-01-05 14:10:00,157.47,110.01,12.1,8.19,1.31,0.0
2015-01-05 15:10:00,30.99,23.53,4.62,7.08,1.72,0.0
2015-01-05 16:10:00,0.0,0.0,0.0,5.25,2.14,0.0
2015-01-05 17:10:00,0.0,0.0,0.0,3.58,2.21,0.0
2015-01-05 18:10:00,0.0,0.0,0.0,2.33,2.21,0.0
2015-01-05 19:10:00,0.0,0.0,0.0,2.22,2.41,0.0
2015-01-05 20:10:00,0.0,0.0,0.0,1.66,2.48,0.0
2015-01-05 21:10:00,0.0,0.0,0.0,1.36,2.55,0.0
2015-01-05 22:10:00,0.0,0.0,0.0,1.18,2.62,0.0
2015-01-05 23:10:00,0.0,0.0,0.0,0.92,2.48,0.0
2015-01-06 00:10:00,0.0,0.0,0.0,0.47,2.07,0.0
2015-01-06 01:10:00,0.0,0.0,0.0,1.31,1.38,0.0
2015-01-06 02:10:00,0.0,0.0,0.0,2.74,0.55,0.0
2015-01-06 03:10:00,0.0,0.0,0.0,2.16,0.28,0.0
2015-01-06 04:10:00,0.0,0.0,0.0,1.68,0.62,0.0
2015-01-06 05:10:00,0.0,0.0,0.0,1.26,0.62,0.0
2015-01-06 06:10:00,0.0,0.0,0.0,1.1,0.76,0.0
2015-01-06 07:10:00,0.0,0.0,0.0,0.37,0.97,0.0
2015-01-06 08:10:00,822.57,315.38,9.38,-0.31,1.24,0.0
2015-01-06 09:10:00,1431.09,555.85,15.87,2.59,0.97,0.0
2015-01-06 10:10:00,1530.0,603.88,20.29,5.22,1.1,0.0
2015-01-06 11:10:00,1439.4,571.76,22.2,6.99,1.59,0.0
2015-01-06 12:10:00,1123.08,454.33,21.39,8.16,2.07,0.0
2015-01-06 13:10:00,659.07,293.12,17.95,8.77,2.21,0.0
2015-01-06 14:10:00,165.36,110.65,12.25,8.81,2.0,0.0
2015-01-06 15:10:00,32.73,24.44,4.77,7.91,1.79,0.0
2015-01-06 16:10:00,0.0,0.0,0.0,6.25,2.07,0.0
2015-01-06 17:10:00,0.0,0.0,0.0,4.62,2.0,0.0
2015-01-06 18:10:00,0.0,0.0,0.0,3.15,2.0,0.0
2015-01-06 19:10:00,0.0,0.0,0.0,2.77,1.52,0.0
2015-01-06 20:10:00,0.0,0.0,0.0,2.05,1.66,0.0
2015-01-06 21:10:00,0.0,0.0,0.0,1.54,1.72,0.0
2015-01-06 22:10:00,0.0,0.0,0.0,1.12,1.72,0.0
2015-01-06 23:10:00,0.0,0.0,0.0,1.53,1.45,0.0
2015-01-07 00:10:00,0.0,0.0,0.0,2.68,0.9,0.0
2015-01-07 01:10:00,0.0,0.0,0.0,2.62,0.14,0.0
2015-01-07 02:10:00,0.0,0.0,0.0,2.09,0.69,0.0
2015-01-07 03:10:00,0.0,0.0,0.0,1.05,1.03,0.0
2015-01-07 04:10:00,0.0,0.0,0.0,1.25,0.9,0.0
2015-01-07 05:10:00,0.0,0.0,0.0,1.26,0.83,0.0
2015-01-07 06:10:00,0.0,0.0,0.0,1.37,0.83,0.0
2015-01-07 07:10:00,0.0,0.0,0.0,1.45,0.55,0.0
2015-01-07 08:10:00,294.33,125.76,9.44,1.99,0.48,0.0
2015-01-07 09:10:00,416.34,171.93,15.95,3.1,0.41,0.0
2015-01-07 10:10:00,422.01,175.59,20.39,4.5,0.62,0.0
2015-01-07 11:10:00,489.3,201.93,22.32,5.67,0.76,0.0
2015-01-07 12:10:00,616.11,252.68,21.53,6.7,0.69,0.0
2015-01-07 13:10:00,658.41,292.24,18.1,7.28,0.69,0.0
2015-01-07 14:10:00,208.53,106.22,12.4,7.41,0.69,0.0
2015-01-07 15:10:00,40.62,28.06,4.93,6.92,0.55,0.0
2015-01-07 16:10:00,0.0,0.0,0.0,6.19,0.14,0.0
2015-01-07 17:10:00,0.0,0.0,0.0,5.43,0.55,0.0
2015-01-07 18:10:00,0.0,0.0,0.0,4.88,0.69,0.0
2015-01-07 19:10:00,0.0,0.0,0.0,2.65,1.59,0.0
2015-01-07 20:10:00,0.0,0.0,0.0,2.26,1.59,0.0
2015-01-07 21:10:00,0.0,0.0,0.0,2.37,1.45,0.0
2015-01-07 22:10:00,0.0,0.0,0.0,2.26,1.45,0.0
2015-01-07 23:10:00,0.0,0.0,0.0,2.14,1.38,0.0
2015-01-08 00:10:00,0.0,0.0,0.0,2.21,1.24,0.0
2015-01-08 01:10:00,0.0,0.0,0.0,3.03,0.97,0.0
2015-01-08 02:10:00,0.0,0.0,0.0,3.33,0.55,0.0
2015-01-08 03:10:00,0.0,0.0,0.0,2.98,0.21,0.0
2015-01-08 04:10:00,0.0,0.0,0.0,2.24,0.69,0.0
2015-01-08 05:10:00,0.0,0.0,0.0,0.89,1.1,0.0
2015-01-08 06:10:00,0.0,0.0,0.0,0.56,1.31,0.0
2015-01-08 07:10:00,0.0,0.0,0.0,2.68,0.69,0.0
2015-01-08 08:10:00,50.67,32.16,9.5,3.06,0.48,0.0
2015-01-08 09:10:00,1438.47,563.25,16.03,3.57,0.69,0.0
2015-01-08 10:10:00,474.21,195.6,20.49,5.7,1.03,0.0
2015-01-08 11:10:00,1402.74,558.04,22.45,6.98,1.31,0.0
2015-01-08 12:10:00,552.12,228.3,21.67,7.82,1.45,0.0
2015-01-08 13:10:00,403.83,175.34,18.26,8.23,1.31,0.0
2015-01-08 14:10:00,194.46,113.65,12.57,8.32,1.24,0.0
2015-01-08 15:10:00,40.44,28.06,5.09,7.76,1.24,0.0
2015-01-08 16:10:00,0.0,0.0,0.0,6.44,1.66,0.0
